Situation;Nivel;Number;Imports;Changed_files;Changes;Deletion;Aditions;Size_body;Create_date;Closed_date;Merge_date;Diff_MergeLastModify;Diff_CreateNow;PR_comments;PR_size_comments;Review_comments;Review_size_comments;Issue_comments;Issue_size_comments;Qtd_labels_pr;Qtd_labels_issue;Commits
Closed;Difficult;14028;0;2;26;1;25;733;2020-02-25 20:01:53;2020-03-27 07:17:27;2020-03-27 07:17:27;432 days 20:46:10;645 days 00:16:05.362978;3;0;0;0;2;118;4;3;1
Closed;Difficult;14028;0;2;26;1;25;733;2020-02-25 20:01:53;2020-03-27 07:17:27;2020-03-27 07:17:27;432 days 20:46:10;645 days 00:16:07.470293;3;0;0;0;2;118;4;3;1
Closed;Difficult;13996;0;1;5;0;5;93;2020-02-22 12:02:28;2020-02-24 19:45:01;2020-02-24 19:45:01;637 days 03:45:13;648 days 08:15:35.122975;2;0;0;0;2;437;1;5;1
Closed;Difficult;13953;0;1;17;7;10;237;2020-02-19 02:14:45;2020-02-25 22:04:13;2020-02-25 22:04:12;644 days 17:58:24;651 days 18:03:20.680885;1;96;2;96;1;153;4;3;1
Closed;Difficult;13953;0;1;17;7;10;237;2020-02-19 02:14:45;2020-02-25 22:04:13;2020-02-25 22:04:12;644 days 17:58:24;651 days 18:03:22.961248;1;96;2;96;1;153;4;3;1
Closed;Difficult;12999;1;13;303;13;290;1609;2019-08-13 19:00:15;2019-08-22 20:45:47;;;841 days 01:17:55.699369;23;184;3;184;21;17799;4;4;1
Closed;Difficult;12999;1;13;303;13;290;1609;2019-08-13 19:00:15;2019-08-22 20:45:47;;;841 days 01:17:58.234927;23;184;3;184;21;17799;4;4;1
Closed;Difficult;12142;1;10;105;30;75;129;2019-04-16 16:51:21;2019-05-09 21:11:58;;;960 days 03:26:54.978406;1;134;3;134;1;936;1;5;2
Closed;Difficult;11796;0;8;154;77;77;454;2019-03-06 08:45:28;2019-03-06 17:33:45;;;1001 days 11:32:50.338935;2;0;0;0;2;74;1;3;22
Closed;Difficult;10110;0;8;136;65;71;655;2018-07-30 13:05:22;2018-07-30 17:11:55;;;1220 days 07:12:58.697833;2;0;0;0;2;629;1;2;25
