Situation;Nivel;Number;Imports;Changed_files;Changes;Deletion;Aditions;Size_body;Create_date;Closed_date;Merge_date;Diff_MergeLastModify;Diff_CreateNow;PR_comments;PR_size_comments;Review_comments;Review_size_comments;Issue_comments;Issue_size_comments;Qtd_labels;Commits
Open;Easy;19726;0;3;120;1;119;1576;2021-09-11 17:45:46;;;;71 days 21:39:53.516731;6;0;0;0;5;1361;1;4
Open;Easy;19702;8;9;350;0;350;408;2021-09-09 18:34:52;;;;73 days 20:50:50.470360;1;0;0;0;1;307;1;6
Open;Easy;19636;8;1;158;0;158;1107;2021-08-31 09:45:56;;;;83 days 05:39:50.623500;7;1993;14;1993;7;1653;1;4
Open;Easy;19583;0;4;55;8;47;611;2021-08-17 07:40:32;;;;97 days 07:45:16.868962;0;0;0;0;0;0;1;1
Open;Easy;19028;2;8;242;38;204;196;2021-06-27 21:52:21;;;;147 days 17:33:30.156319;1;0;0;0;0;0;2;12
Open;Easy;18876;0;1;10;0;10;695;2021-06-16 17:10:27;;;;158 days 22:15:26.521637;1;0;0;0;0;0;2;1
Open;Easy;18826;7;7;118;13;105;624;2021-06-14 06:48:36;;;;161 days 08:37:19.825702;2;0;0;0;1;78;2;1
Open;Easy;18813;6;7;207;8;199;286;2021-06-12 01:18:14;;;;163 days 14:07:44.035365;2;0;0;0;0;0;3;1
Open;Easy;18517;8;15;2556;0;2556;993;2021-05-15 16:20:10;;;;190 days 23:05:52.815851;22;3465;21;3465;21;2232;2;5
Open;Easy;18439;0;2;7;1;6;1290;2021-05-11 09:06:47;;;;195 days 06:19:18.375951;3;0;0;0;2;478;1;2
Open;Easy;18257;0;1;6;1;5;461;2021-04-25 01:46:55;;;;211 days 13:39:12.743806;2;0;0;0;1;279;2;1
Open;Easy;18255;0;4;78;13;65;927;2021-04-24 22:40:55;;;;211 days 16:45:15.546030;3;698;4;698;2;985;2;8
Open;Easy;18124;6;1;184;86;98;953;2021-04-13 08:23:33;;;;223 days 07:02:40.698412;17;166;4;166;17;4713;1;2
Open;Easy;17987;0;2;30;4;26;958;2021-04-04 08:42:03;;;;232 days 06:44:13.070672;1;0;0;0;0;0;2;1
Open;Easy;17912;0;5;35;1;34;693;2021-03-31 19:00:56;;;;235 days 20:25:22.377708;2;0;0;0;1;42;2;1
Open;Easy;17892;0;1;64;4;60;645;2021-03-30 18:05:18;;;;236 days 21:21:02.557114;0;0;0;0;0;0;1;3
Open;Easy;17816;2;6;126;38;88;561;2021-03-26 17:42:09;;;;240 days 21:44:14.223048;2;0;0;0;1;518;2;2
Open;Easy;17717;4;32;568;231;337;1550;2021-03-20 18:12:24;;;;246 days 21:14:02.663799;1;0;0;0;0;0;2;8
Open;Easy;17659;0;41;1279;0;1279;669;2021-03-16 22:29:57;;;;250 days 16:56:32.908354;3;2203;7;2203;2;434;2;1
Open;Easy;17597;0;2;60;20;40;1034;2021-03-12 15:32:24;;;;254 days 23:54:09.471634;14;2191;14;2191;13;1762;2;4
Open;Easy;17593;3;7;61;3;58;284;2021-03-12 13:46:22;;;;255 days 01:40:14.464726;3;458;2;458;2;142;3;2
Open;Easy;17446;0;2;33;0;33;699;2021-03-01 06:22:57;;;;266 days 09:03:41.640588;0;0;0;0;0;0;1;1
Open;Easy;17433;1;3;21;3;18;896;2021-02-27 01:30:56;;;;268 days 13:55:45.005443;10;0;0;0;8;1341;3;5
Open;Easy;17360;5;3;27;5;22;544;2021-02-20 07:01:42;;;;275 days 08:25:01.926497;8;531;6;531;6;1305;4;2
Open;Easy;17032;0;3;18;6;12;1081;2021-01-09 10:34:39;;;;317 days 04:52:07.895365;11;972;6;972;11;3935;1;3
Open;Easy;17002;0;3;26;3;23;275;2021-01-03 13:16:01;;;;323 days 02:10:48.171244;3;0;0;0;1;36;5;1
Open;Easy;16934;9;4;89;33;56;1052;2020-12-19 19:01:37;;;;337 days 20:25:14.522363;1;0;0;0;0;0;2;1
Open;Easy;16925;0;3;30;3;27;753;2020-12-18 23:23:02;;;;338 days 16:03:52.313022;7;1043;6;1043;5;848;5;3
Open;Easy;16896;0;3;28;1;27;753;2020-12-14 19:25:02;;;;342 days 20:01:54.506728;0;0;0;0;0;0;0;6
Open;Easy;16870;0;5;38;4;34;1221;2020-12-10 18:58:14;;;;346 days 20:28:45.441616;6;1176;8;1176;6;1093;1;1
Open;Easy;16830;0;1;20;10;10;509;2020-12-02 21:23:55;;;;354 days 18:03:07.462281;2;251;2;251;1;135;1;2
Open;Easy;16458;0;14;236;77;159;582;2020-10-02 07:57:26;;;;416 days 07:29:39.494088;7;1315;4;1315;6;1020;2;1
Open;Easy;16104;0;2;6;2;4;759;2020-08-11 19:27:20;;;;467 days 19:59:48.062199;2;399;2;399;0;0;4;2
Open;Easy;16084;1;3;46;20;26;468;2020-08-09 08:06:30;;;;470 days 07:20:41.372755;22;1566;10;1566;21;6263;3;3
Open;Easy;15713;9;4;139;111;28;173;2020-07-07 23:00:00;;;;502 days 16:27:13.843549;7;0;0;0;5;1060;3;3
Open;Easy;14575;0;4;15;1;14;768;2020-04-14 17:28:00;;;;586 days 21:59:16.121665;3;0;0;0;1;607;4;6
Open;Easy;14010;20;7;151;67;84;752;2020-02-23 19:48:34;;;;637 days 19:38:45.283406;13;1518;9;1518;12;2474;2;2
Open;Easy;13498;9;2;68;2;66;537;2019-12-10 02:21:26;;;;713 days 13:05:55.759171;3;0;0;0;2;623;2;2
Open;Easy;13161;0;4;61;18;43;203;2019-09-13 01:50:38;;;;801 days 13:36:46.151391;9;0;0;0;7;1588;3;1
Open;Easy;12882;0;4;33;2;31;607;2019-07-25 13:18:19;;;;851 days 02:09:08.218631;32;598;3;598;31;7712;2;1
